CAD.CDW.ID,CAD.Event.Number,General.Offense.Number,Event.Clearance.Code,Event.Clearance.Description,Event.Clearance.SubGroup,Event.Clearance.Group,MM,DD,YYYY,TIME,Hundred.Block.Location,District.Sector,Zone.Beat,Census.Tract,Longitude,Latitude,Incident.Location,Initial.Type.Description,Initial.Type.Subgroup,Initial.Type.Group,At.Scene.Time
15803,10000246289,2010246289,062,BICYCLE THEFT,THEFT,BIKE,07,17,2010,09:18:00,69XX BLOCK OF BEACON AVE S,S,S1,11000.5008,-122.296529667,47.539258677,(47.539258677, -122.296529667),,,,
16060,10000246983,2010246983,062,BICYCLE THEFT,THEFT,BIKE,07,18,2010,04:03:00,33XX BLOCK OF YORK RD S,R,R1,9500.4015,-122.287210693,47.573035015,(47.573035015, -122.287210693),,,,
16604,10000247388,2010247388,062,BICYCLE THEFT,THEFT,BIKE,07,18,2010,04:38:00,59XX BLOCK OF 39TH AVE S,S,S1,10300.3009,-122.283375781,47.547873931,(47.547873931, -122.283375781),,,,
17134,10000248363,2010248363,062,BICYCLE THEFT,THEFT,BIKE,07,19,2010,12:30:00,14XX BLOCK OF NW 77TH ST,B,B3,3000.7005,-122.376117142,47.685060995,(47.685060995, -122.376117142),,,,
17585,10000248891,2010248891,062,BICYCLE THEFT,THEFT,BIKE,07,19,2010,09:26:00,3XX BLOCK OF 9TH AVE,E,E3,8500.3001,-122.323443932,47.604128073,(47.604128073, -122.323443932),,,,
17751,10000249315,2010249315,062,BICYCLE THEFT,THEFT,BIKE,07,20,2010,07:51:00,45XX BLOCK OF 42ND AVE S,R,R3,10100.2005,-122.280744182,47.562190438,(47.562190438, -122.280744182),,,,
19234,10000251460,2010251460,062,BICYCLE THEFT,THEFT,BIKE,07,21,2010,07:20:00,73XX BLOCK OF 14TH AVE NW,B,B3,3000.3000,-122.373611511,47.682338229,(47.682338229, -122.373611511),,,,
19964,10000252520,2010252520,062,BICYCLE THEFT,THEFT,BIKE,07,22,2010,03:48:00,4XX BLOCK OF PINE ST,M,M2,8100.2001,-122.337320426,47.611321241,(47.611321241, -122.337320426),,,,
20006,10000252774,2010252774,062,BICYCLE THEFT,THEFT,BIKE,07,22,2010,08:26:00,28XX BLOCK OF BEACON AVE S,O,O1,10000.5014,-122.311207663,47.578205821,(47.578205821, -122.311207663),,,,
20685,10000253475,2010253475,062,BICYCLE THEFT,THEFT,BIKE,07,23,2010,09:27:00,10XX BLOCK OF MINOR AVE,D,D3,8300.1000,-122.324355049,47.610159256,(47.610159256, -122.324355049),,,,
